Article;Sous fam.;ref. four.;Gencod;Frais;Qte cde fou;Qte stock;Cpt ac;Cpt ve M;Cpt ve C;Cpt ve OM;Cpt ve E;Cpt ve CEE;Commentaire;id;sup
SPECTROMETRE PORTABLE;60179;331006000000;1234560035595;15,500;;1,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
TRESSE A DESSOUDER 1.5MX2.8MM SANS NETTOYANT;0202;3320032;1234560065172;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CART. FILTRE DE RECHANGE SK Q=1;60181;3322700;1234560006847;;;102,00;60260000;70102000;70192200;70192100;70192100;70192200;ROULEAUX DE 20 METRES;;
FEUILLE EN PETG 1200X620X1;6002;3346444;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CUVE DE STOCKAGE 60 LITRES;6021;;1234560064830;2,917;;;60400000;70102000;70192200;70192100;70192100;70192200;QTE 5;;
JOINT RACLEUR DE FERMETURE;6021;34009504001;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
DEROULEUR PLASTIQUE FILM ETIRABLE;0203;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
ÉPONGE DE REMPLACEMENT, WELLER;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
ADHESIF TRANSPARENT 50MM X 100M;60164;0000003430050;1234560003020;;;;60400000;70102000;70192200;70192100;70192100;70192200;LE ROULEAU;;
PINCE À SERTIR CK POUR INSULATED TERMINAL, FIL 20-10 AWG;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
PVC 344 HAVANE 50MMX100 M;6021;0000003440050;1234560003013;0,280;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
PVC 345 BLANC UVGERMI 50MMX100M;6021;345I453;1234560010912;0,370;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CLE USB INTENSO 4 GO MICRO LINE;60164;;1234560062959;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
RELAIS 40 2RT 5A/6VCC;6077;351566;1234560008889;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"TRAVERSEE PAROI 1""+ECROU+JT";6021;356104;1234560058822;;;44,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
TRAVERSEE DE PAROI;6021;;1234560062812;5,000;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CONDENSATEUR ÉLECTROLYTIQUE ALUMINIUM 1000?F, 50V CC;6077;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CORDON USB TYPE USB 2.0 GRIS,USB M/M 1 METRES;6077;;1234560067435;;;;60101100;70102000;70192200;70192100;70192100;70192200;rangé avec les 18000327;;
LAMPE FLUO BLEU 895MM G13 L30W67;60164;;1234560057269;20,000;;13,00;60400000;70102000;70192200;70192100;70192100;70192200;Code commande RS 386-7711 Référence fabricant 53561145 Fabricant Paulstra;;
PINCE À SERTIR POUR EMBOUTS DE CÂBLES POUR CONNECTEURS, 0.;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;1 DOSEUR PVC AVEC CLAPETS ASPIRATION ET REFOULEMENT, RACCORDS 4/6? 4 VIS DE FIXATION;;
SUSPENTE ANTIVIBRATILE COMPRESSION 4-18 KG;6021;;1234560053919;;;;60400000;70102000;70192200;70192100;70192100;70192200;1 MEMBRANE PTFE + 4 VIS;;
SUSPENTE ANTIVIBRATILE À FIXATION MIXTES VIS / ÉCROU, SÉRIE;6021;;1234560058389;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
KIT DOSEURS POUR MAGDOS LD1;6021;;1234560058280;;;1,00;60400000;70102000;70192200;70192100;70192100;70192200;Q10;;
KIT MEMBRANE POUR MAGDOS LD1;6021;;1234560058761;;;2,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
COFFRET POLYESTER+PLAQUE 400X600X200;6077;39146;1234560031252;;;5,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
SUPPORT DE LEGENDE 30X50;6077;;1234560036196;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
ADAPTATEUR DE VOYAGE UE VERS GB;6077;399-6134;1234560056750;;;3,00;60400000;70102000;70192200;70192100;70192100;70192200;JOINT CLAMP 60.3;;
TOILE INOX 316L OUV0.425 FIL0.140 MML.1530;6021;;1234560031221;25,000;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
MOCHECK 304/316;6008;400000;1234560046317;8,500;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
JOINT DE RACCORD CLAMP ISO 60.3 EPDM;6021;CJV60;1234560055555;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
KIT DE RACCORDS PVC 4/6 – 6/9 – 6/12;6021;;1234560060924;;;1,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
EPROUVETTE 50ML PAR 2;60164;4035332;;;1,00;;60400000;70102000;70192200;70192100;70192100;70192200;;;
JEU DE POIDS ÉTALLONS AVEC ÉTUIS;60164;003370;;;1,00;;60400000;70102000;70192200;70192100;70192100;70192200;;;
EMBASE 4MM NOIRE;6021;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
EMBASE 4MM ROUGE;6021;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. D406 L1220 9L;6008;;1234560024742;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
VANNE ARROSAGE+ RACCORD D20X27;6021;4092027;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
ECLAIRAGE STANDARD 60W 230VAC;6077;4103600;1234560063192;;;1,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
PINCE À DÉNUDER FACOM POUR FIL MULTICONDUCTEUR, MONO;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
REGULATEUR DE NIVEAU MECA ECOLO 10M;6077;;;;;;60401000;70102000;70192200;70192100;70192100;70192200;;;
FUSIBLE 6.3X32 TDC10  10A;6077;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CONTACTEUR XMP6 PM PRESSOSTAT;6077;;1234560045747;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CONTACTEUR XMP12 PM PRESSOSTAT;6077;;1234560045709;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
INTERRUPTEUR SANS CABLE 45*43*97;60181;4127010;1234560040483;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
MANOMETRE 0/10 BARS AXIAL;6077;413010;1234560036233;;;;60400000;70102000;70192200;70192100;70192100;70192200;06/2008 EPDA LE GLANDIER;;
MANOMETRE 0/6 BARS RADIAL;6021;413106;1234560054008;;;-1,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
MANOMETRE 0/10 BARS RADIAL;6021;413110;1234560036240;;;2,00;60400000;70102000;70192200;70192100;70192100;70192200;ENSEMBLE VANNE + AUMATIC;;
EPROUVETTE CARREE VERRE PAR 5;60164;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;Prix par 10 : 107€;;
BOITIER ELECTRIQUE;60179;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;a partir du 2403-17: modification;;
ECROU DIMAETRE 35 PAS DE 6 A DROITE;6021;;1234560061587;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
RACK POUR 6 BALLASTS  220X143.5 MM;60179;418-003;1234560006199;;25,00;19,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
RACK PR BALLASTS MONTÉ V2;6001;;;;;-2,00;60400000;70102000;70192200;70192100;70192100;70192200;SAC DE 5;;
PLUS VALUE ENSEMBLE RACKÉ CABLÉ 2 UV;6001;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;POUR 10 SACS 6.07€ LE SAC;;
SLIDE RAIL FOR RACK 6-SLOT;60179;;1234560052660;;;66,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
BOUCHON POUR TUBE 30 MM;6021;4205287;1234560004706;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BOUCHON POUR TUBE 40 MM;6021;4205293;1234560004713;;;140,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
FRAISE CONIQUE RS PRO HSS 43 MM 90°, DIAMÈTRE DE TÊTE 20.5MM;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
FICHE MALE  3 POINTS  POUR CABLE BULGIN;6077;4260903;1234560009244;;;12,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
FICHE FEMELLE 4 VOIES POUR CAB;6077;4260975;1234560009268;;;44,00;60400000;70102000;70192200;70192100;70192100;70192200;10 PIECES;;
PROLONGATEUR MALE 4 VOIES;6077;4261136;1234560009275;;;3,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
PROLONGATEUR FEMELLE  3 VOIES;6077;4261186;1234560009251;;;12,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
CONTACTS A SOUDER 5A MALES;6077;4261322;1234560009299;;;146,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
CONTACT A SOUDER 5A FEMELLES 10 PIECES;6077;4261344;1234560009282;;;162,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
CONVERTISSEUR DE PRESSION;6077;43006710;1234560063710;15,000;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
DOUILLE FA8 41  VOLANTE POUR T8 - SINGLE PIN;6077;;1234560039203;0,500;;;60400000;70102000;70192200;70192100;70192100;70192200;100 M;;
MANILLE DROITE LONGUE D10;6021;431970-10;1234560048748;0,270;;;60400000;70102000;70192200;70192100;70192100;70192200;BOITE DE 100;;
DEVIDOIR EMBOUT ETIRABLE;0203;4330001;1234560044689;;;;60400000;70102000;70192200;70192100;70192100;70192200;100M;;
GAINE TRESSEE PET 5;6077;4381858;1234560056729;;;450,00;60400000;70102000;70192200;70192100;70192100;70192200;BTE DE 100;;
GAINE TRESSEE PET 6;6077;4381864;1234560042241;;;150,00;60400000;70102000;70192200;70192100;70192100;70192200;50 M;;
GAINE TRESSEE PET 8;6077;;1234560056699;;;150,00;60400000;70102000;70192200;70192100;70192100;70192200;25M;;
GAINE TRESSEE PLIOSIL PET 10;6077;;1234560056712;;;150,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
GAINE TRESSEE PET 12;6077;4381892;1234560033812;;;225,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
GAINE TRESSEE PET 20;6077;4381915;1234560056705;;;55,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
CÂBLE D'ALIMENTATION NEXANS 2 X 0,75 MM² 18 AWG, C 25M;6077;;1234560065844;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CLÉ EN CROIX DE CONTACT ARMOIRE 5 PROFILS;0202;;1234560061730;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
COUDE 3D D60,3 EP=2;6021;;1234560055579;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BALLAST ELECTRO 40W - 120V - 60HZ;60179;;1234560017614;0,020;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
KIT DE JOINTS TORIQUES LOCTITE;6021;4413270;1234560049042;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
INDICATEUR DE DEBIT 4-50L/MIN AIR;6021;4487451;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
PALETTES BOIS 450X105;0203;GERMISERRE 70 CORP;1234560062843;;;-1,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
FLEXIBLE INOX;6021;453083;1234560043972;;;4,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
GAINE QUARTZ 44X445 MM EP 1.75;6091;;1234560001422;1,000;;96,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
TARAUDS MACHINE, HSS, MÉTRIQUE, M4 53 MM;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;VENDU PAR 4 A 11.70€;;
TARAUDS MACHINE, HSS, MÉTRIQUE, M5 58MM;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CONNECTEUR THERMOCOUPLE;6077;4559938;1234560009206;;;61,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
ANNEAUX (X4)DE TRANSPORT;60181;4568000;1234560015849;;;37,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
TOURNEVIS FACOM, 100MM, VIS FENDU POUR DES VIS 0,6 X 3,5;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
JEU DE TOURNEVIS ELECTRICIENS, 6 PIÈCES, POZIDRIV, FENDU;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
SONDE DE TEMPERATURE PT100 D03516;60179;4573631;1234560050680;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
PAPIER MASKING 48MMX50M LE RLX;0202;4600;1234560013838;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BALLAST ELECTRO OSRAM QT FQ 2X80W;60179;825564;1234560000906;;;13,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
FLACON ROND 60ML;60164;;1234560052417;;;1,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
THERMOSTAT NTC 1 SORTIE RELAIS 230V;6077;461216;1234560007936;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
PIEDS AJUSTABLE ARTICULE SR1572;6021;462201;1234560052776;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
DIODE ZENER ON SEMICONDUCTOR 1, SIMPLE, 6.8V 5% 5 W TRAVERSA;6077;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BALLAST FERRO 18W - 230V 50HZ - VIS;60179;1113055;12345600008900;;;108,00;60400000;70102000;70192200;70192100;70192100;70192200;CONDITIONNEMENT PAR 100 AU PRIX DE 111 EUROS LE LOT;;
RELAIS (MINI) 2RT 8A 24 V AC;6077;465280240040;1234560008926;;;178,00;60400000;70102000;70192200;70192100;70192100;70192200;UVCARE - BAC ACIDE - R75;;
PIEDS AJUSTABLE NON ARTICULE SR1572-3;6021;466126;1234560061570;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
POIGNEES RECTANGULAIRES;6021;466308;1234560068975;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
EMBOUT ROND 28 EP 0825;6021;466573;1234560010851;;;200,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
BALLAST FERRO 36W 230V - 60HZ - VIS;60179;469660;1234560007448;;;40,00;60401000;70102000;70192200;70192100;70192100;70192200;;;
COURROIE TRAPEZOIDALE ENVELOPEE RS A28;6021;471562;1234560044986;1,000;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
COURROIE TRAPEZOIDALE ENVELOPEE RS A26;6021;471887;1234560044993;1,000;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
TOURNEVIS FACOM, 75 MM, VIS FENDU POUR DES VIS 0,4 X 2,5;0202;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BALLAST FERRO 18W - 230V 60HZ - AUTO;60179;473801;1234560010097;;;7,00;60400000;70102000;70192200;70192100;70192100;70192200;POUR GSK AVEC ELECTRO POLISSAGE +CLAMPS+CAPTEUR UV DVGW+RESSORT;;
SELECTEUR 3 POSITIONS;6077;;1234560052370;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
SELECTEUR 3 POSITIONS;6077;;1234560052868;;;1,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
CORPS INOX ELECTRO D: 48.3 L:1027 MM CLAMPS;60161;;1234560000296;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CAPTEUR DE T°C KTY81-210 POUR ZCON;60179;4837991;1234560006571;;;52,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
TUBE PTFE 10 MM;6021;4868945;;;;;60400000;70102000;70192200;70192100;70192100;70192200;CORPS REACTEUR PHARMACEUTIQUE;;
ISOLATEUR GALVANIQUE PHOENIX CONTACT;6077;;1234560010004;;;4,00;60400000;70102000;70192200;70192100;70192100;70192200;Pour la fourniture d’une palette chevrons bois, 2 entrées, patins de manutention, chevrons de calage (6 largeurs), marquage.;;
ISOLATEUR PHOENIX CONTACT - MINI MCR;6077;4892904;1234560045884;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CORPS INOX D 48 L 934;60133;48934PH;1234560030774;;;;60401000;70102000;70192200;70192100;70192100;70192200;ACHAT DE 3  PA 14.00E H.T;;
PALETTES BOIS 490X200;0203;GERMISERRE 70 ARMO;1234560062836;;;-1,00;60400000;70102000;70192200;70192100;70192100;70192200;SARL BORDAS 20.71;;
"FILTRE SENIOR DUPLEX 3P - AFO - SX (3 PIÈCES - 3/4"")";6021;;;0,670;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"FILTRE SENIOR SINGL.EAU 3/4""BX";6021;491140;8021647068491;;;;60400000;70102000;70192200;70192100;70192100;70192200;SITE INTERNET;;
"FILTRE SENIOR SINGLE 1"" TYP.BX";6021;491145;8021647068514;;;-1,00;60101100;70102000;70192200;70192100;70192100;70192200;P.A. UV 71.60;;
"FILTRE SENIOR DUPLEX 3PCE 3/4""";6021;491150;8021647068538;;;;60401000;70102000;70192200;70192100;70192100;70192200;;;
"FILTRE MASTER SINGLE 1""TYP.BX";6021;491155;8021647069733;;;10,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
"FILTRE MASTER DUPLEX 3PCE 3/4""";6021;;8021647069757;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"FILTRE PLOT 1""";6021;491497;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
FILTRE PLOT 1''1/4;6021;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
DOSAPROP MIGNON L 3P;6021;491637;1234560044931;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"HYDRA 1""1/2 - RAH - 90?.";6021;;1234560063741;;;;60400000;70102000;70192200;70192100;70192100;70192200;Pt appareil pour la soudure des filles;;
PACK 3 CARTOUCHES  FA10-BX-25µ;6021;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;CHEZ BORDAS 3.24 EN 04/2012;;
CARTOUCHE AB10-BX-0.45µ H250MM;6021;493798;8021647023599;;;3,00;60400000;70102000;70192200;70192100;70192100;70192200;PA 1.80 E HT POUR ACHAT DE 6 (12/2007);;
SAUTERELLE A LEVIER SR5452;6021;493803;1234560047499;;;;60401000;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE FILTRE FA10-SX-5µ;6021;493804;8021647039101;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE FA10-SX-25 MICRONS;6021;493805;8021647039125;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE CA10-SX CHARBON ATIF 25 MICRONS;6021;;;1,944;;;60400000;70102000;70192200;70192100;70192100;70192200;SARL BORDAS 4.53;;
CARTOUCHE FILTRE RL10SX-50µ;6021;;8021647020345;;;;60400000;70102000;70192200;70192100;70192100;70192200;SITE INTERNET;;
CARTOUCHE A FILTRE FA10BX 1/3 µ;6021;493812;8021647022127;;;6,00;60400000;70102000;70192200;70192100;70192100;70192200;SITE INTERNET;;
CARTOUCHE FILTRE FA10-BX 5µ;6021;493813;8021647022141;;;7,00;60400000;70102000;70192200;70192100;70192100;70192200;SITE INTERNET;;
CARTOUCHE FA10-BX-10 M;6021;493814;8021647022158;0,670;;5,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
"CARTOUCHE FA10-BX 100µ H10""";6021;493817;8021647022226;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE FILTRE FA20-BX 5µ;6021;493818;8021647022417;2,917;;9,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE FILTRE FA20-BX-25µ;6021;493819;8021647022448;2,400;;7,00;60400000;70102000;70192200;70192100;70192100;70192200;P.A. UV 10.95;;
CARTOUCHE FA20-BX-50µ;6021;;1234560023851;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE FILTRE FA20-BX 100µ;6021;;1234560053728;;;3,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE FILTRE RL20-BX 50µ;6021;;8021647020437;;;13,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE HA10-BX-POLYPHOSPHAT;6021;;;1,944;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE CA20 - BX - 25µ;6021;493837;8021647021724;2,400;;10,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
CARTOUCHE FA10-SX-1 A 3µ;6021;;1234560023844;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
CONTAINER RECHARGEABLES CTN AVEC CA;6021;493960;1234560067961;5,000;;;60400000;70102000;70192200;70192100;70192100;70192200;09/2003 SOS PISCINE;;
TEST DE DURETE TH;60164;;1234560250622;;;;60400000;70102000;70192200;70192100;70192100;70192200;Q=5;;
CLEF FILTRE PLOT;6021;494299;1234560043965;;;;60400000;70102000;70192200;70192100;70192100;70192200;6.55€ L'UNITE;;
KIT BIPASS 3/4'' P/DUPLEX;6021;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BLOC JONCTION 3 CONT MALE 16 A 400V;6077;4956272;1234560009046;;;28,00;60400000;70102000;70192200;70192100;70192100;70192200;REMPLACEMENT DE LA COLLE PHOTO-MOUNT;;
BLOC JONCTION 3 CTS FEM 16A 400V;6077;4956301;1234560009039;;;37,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
THERMOSTAT JUMO ETRON;6077;;1234560054442;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
ADHÉSIF EN SPRAY, AÉROSOL TRANSPARENT 400 ML;60164;4981076;1234560063680;;;14,00;60400000;70102000;70192200;70192100;70192100;70192200;Q100;;
"RACCORD FILETE 1/2"" MALE CANNELE 13MM";6021;;1234560065608;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BOUCHON CLAMP 50.5 316L;6021;4CB50;1234560033799;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
VIS TETE CYLI BOMBEE A4 8X16;6021;4CBHC816;1234560038664;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
RACCORD CLAMP 104 - 316L;6021;4CCT104;;0,480;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
316L COLLET CLAMP 17.2 / 25;6021;4CCT17M;1234560046041;1,000;;;60400000;70102000;70192200;70192100;70192100;70192200;PAR CENT;;
FERRULE CANNELEE CLAMP 25 - 316L;6021;4CCTC25;1234560032761;;;4,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
316L METR. COLLET CLAMP 63.5;6021;4CCT63;1234560014088;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
VIS A4 DIN 912 VM TCHC 6X16;6021;4CHC616;1234560014415;;;;60400000;70102000;70192200;70192100;70192100;70192200;PRIX PAR 50 - 13.892€;;
RAC CLAMP COMPLET 25 - 316L;6021;4CLAMP25;;0,100;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
RACCORD CLAMP COMPLET JOINT 33,7;6021;;1234560053476;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
RACC CLAMP AVEC JOINT EPDM D48.3;6021;4CLAMP48;1234560033645;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
RAC. CLAMP COMPLET 51 316;6021;4CLAMP51;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
RAC. CLAMP COMPLET 63 316;6021;4CLAMP63;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
COLLIERS 1/2 COQUILLES MANCHON ISOLATION TUBE 26 INOX;6021;;1234560061372;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
COLLIERS 1/2 COQUILLES MANCHON ISOLATION;6021;;1234560058181;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
DEMI-MANCHON 1/2NPT S3000;6021;4DM15;1234560035007;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
FOND BOMBE 139.7X2 316L;6021;4FB139;1234560050697;;;2,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
FOND BOMBE 168.3X3 316L;6021;4FB1683;1234560050963;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
FOND BOMBE 254X2;6021;4FB254;1234560032730;;;4,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
FOND BOMBE DN250 EP.3;6021;;1234560052363;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
FOND BOMBE 316L DN 350;6021;;1234560033874;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
FOND BOMBE 457X3 316L;6021;;1234560069897;;;2,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
FOND BOMBE 610X3 316L;6021;4FB6103;1234560032716;;;;60400000;70102000;70192200;70192100;70192100;70192200;PAR 100;;
FOND BOMBE 76.1X2 316L;6021;;1234560032723;;;;60400000;70102000;70192200;70192100;70192100;70192200;PAR 100;;
FOND BOMBE DIAM 88.9;6021;;1234560037766;;;1,00;60400000;70102000;70192200;70192100;70192100;70192200;PAR CENT;;
VIS A4 DIN 7991 VM TFHC 8X35;6021;4FHC835;1234560058952;;;;60101100;70102000;70192200;70192100;70192100;70192200;PAR 100;;
ECROU A4 M12;6021;4HU12;1234560044306;;;;60400000;70102000;70192200;70192100;70192100;70192200;PAR CENT;;
ECROU DIN934 HU M20 A4-316;6021;934-4-20;1234560061273;;;100,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
ECROU A4 INDESSERABLE D4;6021;4IND4;1234560051557;;;2397,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
RONDELLE M Ø20 (22X40/3) A4-316 - 9246-4-20;6021;M-4-20;1234560061266;;;250,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
BRIDE PAS PN16 DN200 INOX 316L;6021;4PAS16200;1234560049332;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BRIDE PAS PN10 DN20 INOX 316L;6021;4PAS20;1234560020126;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BRIDE PLEINE INOX PN16 DN200 316L;6021;4PAS200PN16;1234560048830;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BRIDE INOX A2 DN25 316L;6021;4PAS25;1234560019991;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BRIDE 4 PAS 500;6021;;1234560009824;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"REDUCTION 4 "" - 3 "" INOX A SOUDER";6021;;1234560056002;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
REDUCTION C 219.1X168.3 316L;6021;4R219168;1234560042791;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"RACCORD COMPLET A SOUDER SMS D76 3""";6021;4SMS76;1234560049394;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"COUDE 90° A SOUDER 1D SMS D76 3""";6021;4SMSC176;1234560049387;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"NEZ A SOUDER SMS D76 3""";6021;4SMSL76;1234560049349;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"NEZ A SOUDER SMS D76 3""";6021;4SMST76;1234560049356;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
"VANNE PAPILLON SMS LISSE MALE D76 3""";6021;4SMSVPLM76;1234560049363;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
TUBE METRIQUE SANS SOUDURE 8X1 316L;6021;4TE81;1234560067329;;;8,00;60401000;70102000;70192200;70192100;70192100;70192200;;;
TIGE FILETEE INOX A4 DIAM 6 LE M;6021;;1234560000876;;;11,00;60400000;70102000;70192200;70192100;70192100;70192200;;;
BRIDE PLEINE DN250  PN 16;6021;;1234560052356;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
BRIDE PLEINE DN00  PN 16;6021;;;;;;60400000;70102000;70192200;70192100;70192100;70192200;;;
